Column,DataType
use_chip,int64
merchant_city_te,float64
merchant_state_te,float64
zip_te,float64
errors_te,float64
spending_category_te,float64
card_brand,int64
card_type,int64
has_chip,int64
num_cards_issued,int64
current_age,int64
retirement_age,int64
gender,int64
address_te,float64
credit_score,int64
num_credit_cards,int64
month_of_transaction,int32
weekday_of_transaction,int32
hour_of_transaction,int32
season_of_transaction,int64
is_first_transaction,int64
zero_credit_limit_flag,int64
zero_debt_flag,int64
had_any_errors,int64
transaction_magnitude,int64
credit_score_rating,int64
amount_positive,float64
amount_negative,float64
years_until_retirement_log,float64
days_since_pin_change_log,float64
credit_limit_log,float64
total_debt_log,float64
purchase_to_credit_limit_ratio_log,float64
credit_limit_to_debt_ratio_log,float64
average_amount_per_merchant_log,float64
merchant_fraud_rate_log,float64
seconds_since_last_transaction_log,float64
account_age_in_days_log,float64
merchant_total_fraud_cases_log,float64
per_capita_income_log,float64
yearly_income_log,float64
count_of_important_errors_log,float64
total_number_of_errors_log,float64
